Zip,Total_Population,Male_Population,Female_Population
12522,5074,2380,2694
12523,2132,1102,1030
12524,15079,7492,7587
12525,1710,806,904
12526,3427,1721,1706
12527,42,23,19
12528,13818,6747,7071
12529,2345,1232,1113
12530,218,49,169
12531,2316,1276,1040
12533,26770,13622,13148
12534,17468,9012,8456
12538,14104,6996,7108
12540,9314,4501,4813
12542,5859,3039,2820
12543,3147,1451,1696
12544,54,32,22
12545,4389,2063,2326
12546,2710,1310,1400
12547,2808,1476,1332
12548,1039,501,538
12549,10896,5205,5691
12550,54996,26620,28376
12553,27300,13225,14075
12561,18531,8597,9934
12563,7456,3828,3628
12564,7910,3968,3942
12565,1575,930,645
12566,11718,5345,6373
12567,2498,1323,1175
12569,9766,4785,4981
12570,6324,3224,3100
12571,10168,5042,5126
12572,9168,4357,4811
12574,422,216,206
12575,1743,999,744
12577,1613,710,903
12578,2306,1257,1049
12580,4169,2234,1935
12581,1928,923,1005
12582,6157,3704,2453
12583,1927,824,1103
12585,1252,613,639
12586,12874,6353,6521
12589,19639,10598,9041
12590,35823,18141,17682
12592,1280,766,514
12594,3645,1609,2036
12601,44696,22119,22577
12603,41513,20081,21432
12604,2118,822,1296
12701,12191,6175,6016
12719,892,489,403
12720,434,266,168
12721,7590,4069,3521
12722,0,0,0
12723,1854,786,1068
12724,77,40,37
12725,318,179,139
12726,1169,667,502
12729,1307,668,639
12732,810,391,419
12733,1891,1447,444
12734,563,152,411
12736,149,68,81
12737,1817,1062,755
12738,444,226,218
12740,1683,898,785
12741,309,135,174
12742,132,92,40
12743,319,178,141
12745,6,0,6
12746,598,356,242
12747,2036,842,1194
12748,1616,868,748
12749,507,241,266
12750,33,18,15
12751,1340,645,695
12752,301,148,153
12754,8525,4339,4186
12758,4061,2132,1929
12759,1835,717,1118
12760,337,196,141
12762,453,308,145
12763,615,385,230
12764,1827,931,896
12765,653,394,259
12766,524,245,279
12767,180,102,78
12768,805,466,339
12769,382,200,182
12770,241,109,132
12771,14345,6983,7362
12775,2661,1437,1224
12776,2046,1066,980
12777,791,398,393
12778,456,212,244
12779,2207,1106,1101
12780,2245,1317,928
12781,138,72,66
12783,1357,576,781
12784,0,0,0
12785,968,384,584
12786,553,246,307
12787,131,54,77
